id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	Inverse variance weighted (fixed effects)	39	0.0461695813827221	0.193813063131944	0.811712732793307
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	Weighted median	39	0.110360666771027	0.282293726423015	0.695839603229453
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	Weighted mode	39	-0.0753669655286151	0.556727588119582	0.89303000776494
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	Simple mode	39	-0.118265367922047	0.5733011031113	0.837666945913268
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	MR Egger	39	0.263839802148893	0.971778801847618	0.787514180162178
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	MR RAPS	39	0.0647934972292139	0.202910707619236	0.749483681010401
EXeeTg	ebi-a-GCST90001553	Naive CD8+ T cell %T cell || id:ebi-a-GCST90001553	exposure	PRESSO	39	0.0461695813827221	0.16349394736577	0.779174484681469
