id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	Inverse variance weighted (fixed effects)	40	-0.629471785777611	0.304697116578625	0.0388385388724616
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	Weighted median	40	-0.728472465538919	0.426469825579683	0.0876093689426313
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	Weighted mode	40	-0.730784083356395	0.72578803505757	0.320197251127979
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	Simple mode	40	-1.28185365690052	0.923707995980088	0.173098718843788
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	MR Egger	40	-0.768387690758062	1.5268263772417	0.617687671219123
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	MR RAPS	40	-0.682474138021082	0.319188458349463	0.0325042314001235
EXeeTg	ebi-a-GCST90002039	CD80 on monocyte || id:ebi-a-GCST90002039	exposure	PRESSO	40	-0.629471785777611	0.262503682845388	0.0213709027820741
