id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	Inverse variance weighted (fixed effects)	36	-0.19792274335506	0.313994217433189	0.528472931895538
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	Weighted median	36	-0.212121041788777	0.448282097782609	0.636080120503878
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	Weighted mode	36	-0.391226363882453	0.873215492024789	0.656893008313676
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	Simple mode	36	-0.450839510579483	0.968632372606486	0.644500187849302
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	MR Egger	36	3.34368417860056	1.7511698064918	0.0646784970255998
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	MR RAPS	36	-0.199238571447407	0.329191477087529	0.545022121039068
EXeeTg	ebi-a-GCST90001848	CD3 on Natural Killer T || id:ebi-a-GCST90001848	exposure	PRESSO	36	-0.19792274335506	0.271896627974142	0.471496260320363
