id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	Inverse variance weighted (fixed effects)	39	-0.308864424434531	0.275202102932706	0.261727022815134
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	Weighted median	39	-0.230213452635972	0.393173388239147	0.558193728214784
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	Weighted mode	39	-7.34589293518439e-05	0.692016112673063	0.999915858242823
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	Simple mode	39	-0.234211736368813	0.809385550192588	0.773871371850597
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	MR Egger	39	0.966524159697196	1.38555067210566	0.489804207793242
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	MR RAPS	39	-0.299839340841341	0.288927642768788	0.299378918049322
EXeeTg	ebi-a-GCST90001736	CD19 on memory B cell || id:ebi-a-GCST90001736	exposure	PRESSO	39	-0.308864424434531	0.256271368171225	0.235568762921445
