id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	Inverse variance weighted (fixed effects)	40	1.29211408202796	1.67905729489402	0.441568450153918
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	Weighted median	40	1.59005997367335	2.50268262606445	0.525205233411766
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	Weighted mode	40	2.13363543042493	5.17222846449164	0.682219039344056
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	Simple mode	40	2.73849564197348	5.46759747725189	0.619285486829002
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	MR Egger	40	-12.244254731613	8.46983841333667	0.156478360364386
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	MR RAPS	40	1.09047094185954	1.84022786904161	0.553466373553607
EXeeTg	ebi-a-GCST90001700	CD45RA+ CD28- CD8+ T cell %T cell || id:ebi-a-GCST90001700	exposure	PRESSO	40	1.29211408202796	1.59911224160591	0.423980656783031
