id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	Inverse variance weighted (fixed effects)	39	-0.755941226996347	0.273146238847966	0.00564823286394044
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	Weighted median	39	-0.64920749081295	0.381694023625935	0.0889695776199077
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	Weighted mode	39	-0.613738366770912	0.683547293915799	0.374907379733531
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	Simple mode	39	-0.428483459705079	0.769981341681057	0.58114159579154
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	MR Egger	39	-0.579073999079077	1.35373652588913	0.671305566505145
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	MR RAPS	39	-0.763179470565476	0.287595475412462	0.00796249457767183
EXeeTg	ebi-a-GCST90001721	CD19 on CD20- B cell || id:ebi-a-GCST90001721	exposure	PRESSO	39	-0.755941226996347	0.251863526517533	0.00472887769076462
