id.exposure	id.outcome	outcome	exposure	method	nsnp	b	se	pval
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	Inverse variance weighted (fixed effects)	40	0.358633225245096	0.264242035399516	0.174712940628595
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	Weighted median	40	0.0586225110483168	0.398680332747851	0.883099349374224
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	Weighted mode	40	-0.00846173279424001	0.82623881897685	0.991881003531142
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	Simple mode	40	0.0136855044253217	0.86748940759447	0.987493534773165
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	MR Egger	40	0.058201857756594	1.33301015879309	0.96540247910293
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	MR RAPS	40	0.357599357092748	0.278269933432789	0.198764039618065
EXeeTg	ebi-a-GCST90001678	CD28- CD25++ CD8+ T cell Absolute Count || id:ebi-a-GCST90001678	exposure	PRESSO	40	0.358633225245096	0.257224186264351	0.171136785576344
